Date,Value,Date,Value,Date,Value,Date,Value,Date,Value,Date,Value,Date,Value,Date,Value,Date,Value,Date,Value
2016-05-08T18:10:00.000Z,5.898326,2016-05-08T18:10:00.000Z,7.801185,2016-05-08T18:10:00.000Z,6.760506,2016-05-08T18:10:00.000Z,4.987612,2016-05-08T18:10:00.000Z,6.462505817,2016-05-08T18:10:00.000Z,6.334719,2016-05-08T18:10:00.000Z,2.146378994,2016-05-08T18:10:00.000Z,2.204681,2016-05-08T18:10:00.000Z,3.544923,2016-05-08T18:10:00.000Z,2.247264
2016-05-08T18:15:00.000Z,5.840063095,2016-05-08T18:15:00.000Z,7.773938179,2016-05-08T18:15:00.000Z,6.788015,2016-05-08T18:15:00.000Z,5.020922184,2016-05-08T18:15:00.000Z,6.459187984,2016-05-08T18:15:00.000Z,6.34372282,2016-05-08T18:15:00.000Z,2.168586016,2016-05-08T18:15:00.000Z,2.189266,2016-05-08T18:15:00.000Z,3.527522,2016-05-08T18:15:00.000Z,2.226087
2016-05-08T18:20:00.000Z,6.369596,2016-05-08T18:20:00.000Z,7.799006,2016-05-08T18:20:00.000Z,6.762111,2016-05-08T18:20:00.000Z,5.000011921,2016-05-08T18:20:00.000Z,6.438659191,2016-05-08T18:20:00.000Z,6.347311,2016-05-08T18:20:00.000Z,2.167365,2016-05-08T18:20:00.000Z,2.244097,2016-05-08T18:20:00.000Z,3.566289,2016-05-08T18:20:00.000Z,2.213038
2016-05-08T18:25:00.000Z,6.329988,2016-05-08T18:25:00.000Z,7.801754951,2016-05-08T18:25:00.000Z,6.791069984,2016-05-08T18:25:00.000Z,5.008828163,2016-05-08T18:25:00.000Z,6.474793,2016-05-08T18:25:00.000Z,6.374937057,2016-05-08T18:25:00.000Z,2.14447093,2016-05-08T18:25:00.000Z,2.218417,2016-05-08T18:25:00.000Z,3.549234,2016-05-08T18:25:00.000Z,2.227652
2016-05-08T18:30:00.000Z,6.293701172,2016-05-08T18:30:00.000Z,7.809001,2016-05-08T18:30:00.000Z,6.789886,2016-05-08T18:30:00.000Z,4.97772789,2016-05-08T18:30:00.000Z,6.479866982,2016-05-08T18:30:00.000Z,6.355974197,2016-05-08T18:30:00.000Z,2.12917,2016-05-08T18:30:00.000Z,2.213459,2016-05-08T18:30:00.000Z,3.564229,2016-05-08T18:30:00.000Z,2.221089
2016-05-08T18:35:00.000Z,6.297327042,2016-05-08T18:35:00.000Z,7.827966213,2016-05-08T18:35:00.000Z,6.811407,2016-05-08T18:35:00.000Z,4.959606,2016-05-08T18:35:00.000Z,6.495815,2016-05-08T18:35:00.000Z,6.349145,2016-05-08T18:35:00.000Z,2.142143,2016-05-08T18:35:00.000Z,2.205596,2016-05-08T18:35:00.000Z,3.557095,2016-05-08T18:35:00.000Z,2.230893
2016-05-08T18:40:00.000Z,6.224295139,2016-05-08T18:40:00.000Z,7.828311,2016-05-08T18:40:00.000Z,6.804233074,2016-05-08T18:40:00.000Z,4.96250391,2016-05-08T18:40:00.000Z,6.475135803,2016-05-08T18:40:00.000Z,6.330029011,2016-05-08T18:40:00.000Z,2.149126053,2016-05-08T18:40:00.000Z,2.212122,2016-05-08T18:40:00.000Z,3.562625,2016-05-08T18:40:00.000Z,2.229291
2016-05-08T18:45:00.000Z,6.32564,2016-05-08T18:45:00.000Z,7.847504139,2016-05-08T18:45:00.000Z,6.780613,2016-05-08T18:45:00.000Z,4.938389778,2016-05-08T18:45:00.000Z,6.497228,2016-05-08T18:45:00.000Z,6.354029179,2016-05-08T18:45:00.000Z,2.166944,2016-05-08T18:45:00.000Z,2.201896,2016-05-08T18:45:00.000Z,3.581933,2016-05-08T18:45:00.000Z,2.2254
2016-05-08T18:50:00.000Z,7.074112,2016-05-08T18:50:00.000Z,7.848457813,2016-05-08T18:50:00.000Z,6.789237,2016-05-08T18:50:00.000Z,4.946632,2016-05-08T18:50:00.000Z,6.480326176,2016-05-08T18:50:00.000Z,6.344564915,2016-05-08T18:50:00.000Z,2.15110898,2016-05-08T18:50:00.000Z,2.216663,2016-05-08T18:50:00.000Z,3.546791,2016-05-08T18:50:00.000Z,2.184879
2016-05-08T18:55:00.000Z,7.234102,2016-05-08T18:55:00.000Z,7.869941,2016-05-08T18:55:00.000Z,6.822548,2016-05-08T18:55:00.000Z,4.939496994,2016-05-08T18:55:00.000Z,6.478263855,2016-05-08T18:55:00.000Z,6.325639,2016-05-08T18:55:00.000Z,2.181558,2016-05-08T18:55:00.000Z,2.204681,2016-05-08T18:55:00.000Z,3.553317,2016-05-08T18:55:00.000Z,2.215251
2016-05-08T19:00:00.000Z,7.234065056,2016-05-08T19:00:00.000Z,7.860591,2016-05-08T19:00:00.000Z,6.810987,2016-05-08T19:00:00.000Z,4.956665993,2016-05-08T19:00:00.000Z,6.482042,2016-05-08T19:00:00.000Z,6.336741,2016-05-08T19:00:00.000Z,2.159085989,2016-05-08T19:00:00.000Z,2.210443,2016-05-08T19:00:00.000Z,3.571326,2016-05-08T19:00:00.000Z,2.180299
2016-05-08T19:05:00.000Z,7.19339323,2016-05-08T19:05:00.000Z,7.848646164,2016-05-08T19:05:00.000Z,6.795269012,2016-05-08T19:05:00.000Z,4.956439018,2016-05-08T19:05:00.000Z,6.519244,2016-05-08T19:05:00.000Z,6.336286068,2016-05-08T19:05:00.000Z,2.164233923,2016-05-08T19:05:00.000Z,2.216854,2016-05-08T19:05:00.000Z,3.572586,2016-05-08T19:05:00.000Z,2.196136
2016-05-08T19:10:00.000Z,7.229944229,2016-05-08T19:10:00.000Z,7.850478,2016-05-08T19:10:00.000Z,6.80679,2016-05-08T19:10:00.000Z,4.925074,2016-05-08T19:10:00.000Z,6.5165,2016-05-08T19:10:00.000Z,6.33624506,2016-05-08T19:10:00.000Z,2.159427881,2016-05-08T19:10:00.000Z,2.214029,2016-05-08T19:10:00.000Z,3.576209,2016-05-08T19:10:00.000Z,2.202582
2016-05-08T19:15:00.000Z,7.243871,2016-05-08T19:15:00.000Z,7.848227978,2016-05-08T19:15:00.000Z,6.809117,2016-05-08T19:15:00.000Z,4.942283,2016-05-08T19:15:00.000Z,6.493030071,2016-05-08T19:15:00.000Z,6.328653,2016-05-08T19:15:00.000Z,2.14947,2016-05-08T19:15:00.000Z,2.198881,2016-05-08T19:15:00.000Z,3.586437,2016-05-08T19:15:00.000Z,2.200103
2016-05-08T19:20:00.000Z,7.237614,2016-05-08T19:20:00.000Z,7.860628,2016-05-08T19:20:00.000Z,6.82152,2016-05-08T19:20:00.000Z,4.953043,2016-05-08T19:20:00.000Z,6.507151,2016-05-08T19:20:00.000Z,6.321289063,2016-05-08T19:20:00.000Z,2.151683092,2016-05-08T19:20:00.000Z,2.199683,2016-05-08T19:20:00.000Z,3.578309,2016-05-08T19:20:00.000Z,2.178429
