Date,Value,Date,Value,Date,Value,Date,Value,Date,Value
2016-05-08T18:10:00.000Z,5.898326,2016-05-08T18:10:00.000Z,7.801185,2016-05-08T18:10:00.000Z,6.760506,2016-05-08T18:10:00.000Z,4.987612,2016-05-08T18:10:00.000Z,6.462505817
2016-05-08T18:15:00.000Z,5.840063095,2016-05-08T18:15:00.000Z,7.773938179,2016-05-08T18:15:00.000Z,6.788015,2016-05-08T18:15:00.000Z,5.020922184,2016-05-08T18:15:00.000Z,6.459187984
2016-05-08T18:20:00.000Z,6.369596,2016-05-08T18:20:00.000Z,7.799006,2016-05-08T18:20:00.000Z,6.762111,2016-05-08T18:20:00.000Z,5.000011921,2016-05-08T18:20:00.000Z,6.438659191
2016-05-08T18:25:00.000Z,6.329988,2016-05-08T18:25:00.000Z,7.801754951,2016-05-08T18:25:00.000Z,6.791069984,2016-05-08T18:25:00.000Z,5.008828163,2016-05-08T18:25:00.000Z,6.474793
2016-05-08T18:30:00.000Z,6.293701172,2016-05-08T18:30:00.000Z,7.809001,2016-05-08T18:30:00.000Z,6.789886,2016-05-08T18:30:00.000Z,4.97772789,2016-05-08T18:30:00.000Z,6.479866982
2016-05-08T18:35:00.000Z,6.297327042,2016-05-08T18:35:00.000Z,7.827966213,2016-05-08T18:35:00.000Z,6.811407,2016-05-08T18:35:00.000Z,4.959606,2016-05-08T18:35:00.000Z,6.495815
2016-05-08T18:40:00.000Z,6.224295139,2016-05-08T18:40:00.000Z,7.828311,2016-05-08T18:40:00.000Z,6.804233074,2016-05-08T18:40:00.000Z,4.96250391,2016-05-08T18:40:00.000Z,6.475135803
2016-05-08T18:45:00.000Z,6.32564,2016-05-08T18:45:00.000Z,7.847504139,2016-05-08T18:45:00.000Z,6.780613,2016-05-08T18:45:00.000Z,4.938389778,2016-05-08T18:45:00.000Z,6.497228
2016-05-08T18:50:00.000Z,7.074112,2016-05-08T18:50:00.000Z,7.848457813,2016-05-08T18:50:00.000Z,6.789237,2016-05-08T18:50:00.000Z,4.946632,2016-05-08T18:50:00.000Z,6.480326176
2016-05-08T18:55:00.000Z,7.234102,2016-05-08T18:55:00.000Z,7.869941,2016-05-08T18:55:00.000Z,6.822548,2016-05-08T18:55:00.000Z,4.939496994,2016-05-08T18:55:00.000Z,6.478263855
2016-05-08T19:00:00.000Z,7.234065056,2016-05-08T19:00:00.000Z,7.860591,2016-05-08T19:00:00.000Z,6.810987,2016-05-08T19:00:00.000Z,4.956665993,2016-05-08T19:00:00.000Z,6.482042
2016-05-08T19:05:00.000Z,7.19339323,2016-05-08T19:05:00.000Z,7.848646164,2016-05-08T19:05:00.000Z,6.795269012,2016-05-08T19:05:00.000Z,4.956439018,2016-05-08T19:05:00.000Z,6.519244
2016-05-08T19:10:00.000Z,7.229944229,2016-05-08T19:10:00.000Z,7.850478,2016-05-08T19:10:00.000Z,6.80679,2016-05-08T19:10:00.000Z,4.925074,2016-05-08T19:10:00.000Z,6.5165
2016-05-08T19:15:00.000Z,7.243871,2016-05-08T19:15:00.000Z,7.848227978,2016-05-08T19:15:00.000Z,6.809117,2016-05-08T19:15:00.000Z,4.942283,2016-05-08T19:15:00.000Z,6.493030071
2016-05-08T19:20:00.000Z,7.237614,2016-05-08T19:20:00.000Z,7.860628,2016-05-08T19:20:00.000Z,6.82152,2016-05-08T19:20:00.000Z,4.953043,2016-05-08T19:20:00.000Z,6.507151
2016-05-08T19:25:00.000Z,7.254249096,2016-05-08T19:25:00.000Z,7.857996,2016-05-08T19:25:00.000Z,6.838573933,2016-05-08T19:25:00.000Z,4.910040855,2016-05-08T19:25:00.000Z,6.502075195
2016-05-08T19:30:00.000Z,7.202473,2016-05-08T19:30:00.000Z,7.847353,2016-05-08T19:30:00.000Z,6.830219,2016-05-08T19:30:00.000Z,4.913092136,2016-05-08T19:30:00.000Z,6.50692
2016-05-08T19:35:00.000Z,7.221127987,2016-05-08T19:35:00.000Z,7.813087,2016-05-08T19:35:00.000Z,6.82758379,2016-05-08T19:35:00.000Z,4.925873,2016-05-08T19:35:00.000Z,6.538134
2016-05-08T19:40:00.000Z,7.203310966,2016-05-08T19:40:00.000Z,7.804578781,2016-05-08T19:40:00.000Z,6.826403,2016-05-08T19:40:00.000Z,4.927668095,2016-05-08T19:40:00.000Z,6.540001869
2016-05-08T19:45:00.000Z,7.206781864,2016-05-08T19:45:00.000Z,7.857310772,2016-05-08T19:45:00.000Z,6.823998928,2016-05-08T19:45:00.000Z,4.896152,2016-05-08T19:45:00.000Z,6.520121
2016-05-08T19:50:00.000Z,7.213384,2016-05-08T19:50:00.000Z,7.867458,2016-05-08T19:50:00.000Z,6.819381237,2016-05-08T19:50:00.000Z,4.896227837,2016-05-08T19:50:00.000Z,6.51932
2016-05-08T19:55:00.000Z,7.225364,2016-05-08T19:55:00.000Z,7.841398,2016-05-08T19:55:00.000Z,6.814344883,2016-05-08T19:55:00.000Z,4.917099,2016-05-08T19:55:00.000Z,6.520885944
2016-05-08T20:00:00.000Z,7.193695068,2016-05-08T20:00:00.000Z,7.871275,2016-05-08T20:00:00.000Z,6.840252,2016-05-08T20:00:00.000Z,4.887909,2016-05-08T20:00:00.000Z,6.521266
2016-05-08T20:05:00.000Z,7.218916893,2016-05-08T20:05:00.000Z,7.860173,2016-05-08T20:05:00.000Z,6.818313122,2016-05-08T20:05:00.000Z,4.889933109,2016-05-08T20:05:00.000Z,6.524816036
2016-05-08T20:10:00.000Z,7.220444,2016-05-08T20:10:00.000Z,7.843534,2016-05-08T20:10:00.000Z,6.829646111,2016-05-08T20:10:00.000Z,4.900918007,2016-05-08T20:10:00.000Z,6.534125
2016-05-08T20:15:00.000Z,7.223649025,2016-05-08T20:15:00.000Z,7.882112,2016-05-08T20:15:00.000Z,6.842008114,2016-05-08T20:15:00.000Z,4.929727,2016-05-08T20:15:00.000Z,6.538361073
2016-05-08T20:20:00.000Z,7.215826988,2016-05-08T20:20:00.000Z,7.847732067,2016-05-08T20:20:00.000Z,6.84857,2016-05-08T20:20:00.000Z,4.870545864,2016-05-08T20:20:00.000Z,6.526875973
2016-05-08T20:25:00.000Z,7.222808,2016-05-08T20:25:00.000Z,7.871314,2016-05-08T20:25:00.000Z,6.860401154,2016-05-08T20:25:00.000Z,4.909087,2016-05-08T20:25:00.000Z,6.554385185
2016-05-08T20:30:00.000Z,7.201059,2016-05-08T20:30:00.000Z,7.861814,2016-05-08T20:30:00.000Z,6.861545086,2016-05-08T20:30:00.000Z,4.894512177,2016-05-08T20:30:00.000Z,6.524738789
2016-05-08T20:35:00.000Z,7.205103874,2016-05-08T20:35:00.000Z,7.854526043,2016-05-08T20:35:00.000Z,6.857154846,2016-05-08T20:35:00.000Z,4.867761,2016-05-08T20:35:00.000Z,6.549044132
2016-05-08T20:40:00.000Z,7.229028,2016-05-08T20:40:00.000Z,7.86376,2016-05-08T20:40:00.000Z,6.856356,2016-05-08T20:40:00.000Z,4.88882494,2016-05-08T20:40:00.000Z,6.589758
2016-05-08T20:45:00.000Z,7.288171,2016-05-08T20:45:00.000Z,7.852465153,2016-05-08T20:45:00.000Z,6.867803097,2016-05-08T20:45:00.000Z,4.918891907,2016-05-08T20:45:00.000Z,6.532066
